SearchTeam,Team,Player,Experience,DPM,DPM Improvement,O-DPM,D-DPM,Box DPM,Box O-DPM,Box D-DPM,FGA/100,FG2%,FG3A/100,FG3%,FG3ARate%,RimFGA/100,RimFG%,FTA/100,FT%,FTARate%,USG%,REB/100,AST/100,AST%,BLK/100,BLK%,STL/100,STL%,TOV/100
Atlanta Hawks,Atlanta Hawks,Bogdan Bogdanovic,Vet,0.7,-0.9,0.4,0.3,-0.7,-0.7,0,17.5,51.0%,10.6,38.3%,59.6%,2.5,60.6%,2.9,86.4%,15.0%,17.8%,5.4,4.2,12.0%,0.6,0.6%,1.8,1.8%,2.2
Atlanta Hawks,Atlanta Hawks,Vit Krejci,Vet,0.1,1.8,-0.4,0.5,0.1,-0.3,0.4,12.8,56.4%,9.5,37.6%,69.8%,1.7,68.5%,1.4,79.0%,12.6%,13.6%,5.3,6.1,17.3%,0.9,1.0%,1.6,1.6%,2.1
Atlanta Hawks,Atlanta Hawks,Larry Nance Jr.,Vet,-0.1,-2.4,-0.7,0.7,1.7,0.6,1.1,14.9,56.8%,7.1,36.2%,45.1%,4.1,72.9%,1.6,75.7%,15.5%,15.4%,11.9,4.2,13.4%,1,1.1%,2.2,2.2%,1.7
Atlanta Hawks,Atlanta Hawks,De'Andre Hunter,Vet,-0.1,1.1,1.1,-1.2,-0.3,1.2,-1.5,21.2,50.8%,11.2,38.8%,52.9%,3.5,65.0%,6.6,84.0%,31.2%,23.3%,5.9,3.1,9.0%,0.4,0.4%,1.3,1.2%,2.4
Atlanta Hawks,Atlanta Hawks,Garrison Mathews,Vet,-0.6,-0.5,-0.4,-0.2,0.2,0.2,0,14.2,50.9%,11.5,39.1%,83.6%,0.6,65.3%,3.7,81.4%,23.6%,15.1%,4.8,3.5,10.4%,0.6,0.7%,1.5,1.4%,1.6
Atlanta Hawks,Atlanta Hawks,Dominick Barlow,Vet,-1.3,0.5,-1.6,0.3,-1.2,-1.6,0.3,14.8,56.9%,3.2,28.7%,22.6%,6.1,66.2%,4.5,70.4%,35.9%,16.6%,11.7,3.2,8.0%,1.4,1.5%,1.6,1.6%,1.6
Atlanta Hawks,Atlanta Hawks,Dyson Daniels,Vet,-1.3,-0.2,-1.8,0.4,-1.6,-1.6,0,17,54.5%,4.7,33.1%,26.8%,5.4,66.9%,2.7,65.2%,16.1%,18.0%,7.5,5.5,17.2%,0.8,0.9%,3.1,3.1%,2.9
Atlanta Hawks,Atlanta Hawks,Keaton Wallace,Rookie,-1.4,,-1,-0.4,-1.4,-1,-0.4,16.1,48.8%,8.3,36.3%,49.0%,2.4,61.6%,2.2,81.3%,16.6%,16.9%,4.9,6.4,20.6%,0.6,0.6%,2.2,2.2%,3.2
Atlanta Hawks,Atlanta Hawks,Cody Zeller,Vet,-1.6,-0.2,-2.3,0.7,-2.2,-2.6,0.4,13.1,55.1%,4.1,19.1%,22.7%,5.2,64.3%,4.1,63.4%,26.5%,14.6%,14.2,4.1,10.6%,1,1.2%,1.4,1.4%,2.2
Atlanta Hawks,Atlanta Hawks,Daeqwon Plowden,,-2,,-1.6,-0.4,-2,-1.6,-0.4,15.7,51.1%,7.8,31.9%,43.5%,3.7,64.2%,3.3,73.5%,22.8%,16.6%,7.7,4.6,13.4%,0.7,0.7%,1.7,1.7%,2.5
